,product_id,order_date,quantity_ordered,quantity_fulfilled,is_fulfilled
0,1,2022-12-27,2,2,True
1,1,2022-12-30,45,45,False
2,1,2023-01-03,39,39,True
3,1,2023-01-05,32,32,True
4,1,2023-01-08,37,37,True
5,1,2023-01-09,27,27,True
6,1,2023-01-14,17,17,False
7,1,2023-01-15,47,47,True
8,1,2023-01-17,5,5,False
9,1,2023-01-18,21,21,True
10,1,2023-01-19,91,91,False
11,1,2023-01-21,40,40,True
12,1,2023-01-25,36,36,False
13,1,2023-01-26,45,45,True
14,1,2023-01-30,43,39,False
15,1,2023-02-02,14,14,False
16,1,2023-02-06,59,59,True
17,1,2023-02-10,40,40,True
18,1,2023-02-15,17,17,False
19,1,2023-02-16,36,36,True
20,1,2023-02-17,4,4,False
21,1,2023-02-18,16,16,True
22,1,2023-02-21,3,3,True
23,1,2023-02-22,23,23,True
24,1,2023-02-23,51,51,False
25,1,2023-03-01,45,45,True
26,1,2023-03-02,25,25,False
27,1,2023-03-07,25,25,True
28,1,2023-03-14,13,13,True
29,1,2023-03-17,8,8,False
30,1,2023-03-18,13,13,True
31,1,2023-03-22,38,38,True
32,1,2023-03-27,16,16,True
33,1,2023-03-28,20,20,False
34,1,2023-03-30,27,27,True
35,1,2023-04-02,7,7,True
36,1,2023-04-03,37,37,True
37,1,2023-04-05,36,36,False
38,1,2023-04-06,42,42,False
39,1,2023-04-07,2,2,True
40,1,2023-04-08,48,48,True
41,1,2023-04-11,40,40,True
42,1,2023-04-12,34,34,False
43,1,2023-04-13,4,1,False
44,1,2023-04-16,84,72,False
45,1,2023-04-17,15,15,True
46,1,2023-04-18,70,70,False
47,1,2023-04-20,41,41,True
48,1,2023-04-24,10,10,True
49,1,2023-05-01,23,23,True
50,1,2023-05-09,15,15,False
51,1,2023-05-10,43,43,True
52,1,2023-05-13,80,63,False
53,1,2023-05-15,41,41,False
54,1,2023-05-16,10,10,False
55,1,2023-05-18,37,37,True
56,1,2023-05-19,61,61,True
57,1,2023-05-20,3,3,True
58,1,2023-05-21,42,42,False
59,1,2023-05-25,30,30,True
60,1,2023-05-26,41,41,False
61,1,2023-05-27,3,2,False
62,1,2023-06-01,31,31,False
63,1,2023-06-02,6,6,False
64,1,2023-06-05,11,11,True
65,1,2023-06-07,67,67,False
66,1,2023-06-11,42,42,True
67,1,2023-06-19,39,39,False
68,1,2023-06-20,58,58,False
69,1,2023-06-22,45,45,True
70,1,2023-06-23,42,42,True
71,1,2023-06-25,68,68,False
72,1,2023-07-01,35,35,True
73,1,2023-07-09,75,75,True
74,1,2023-07-13,20,19,False
75,1,2023-07-15,28,28,True
76,1,2023-07-16,28,28,True
77,1,2023-07-17,45,45,False
78,1,2023-07-25,8,8,True
79,1,2023-07-28,2,2,True
80,1,2023-07-30,46,32,False
81,1,2023-08-04,17,8,False
82,1,2023-08-07,44,44,False
83,1,2023-08-11,19,19,True
84,1,2023-08-12,17,17,True
85,1,2023-08-14,32,32,True
86,1,2023-08-17,4,4,True
87,1,2023-08-19,10,10,True
88,1,2023-08-23,34,34,False
89,1,2023-08-25,10,10,False
90,1,2023-08-26,58,58,False
91,1,2023-08-27,48,48,True
92,1,2023-08-28,13,13,True
93,1,2023-09-02,15,15,False
94,1,2023-09-03,15,15,True
95,1,2023-09-04,25,25,False
96,1,2023-09-05,20,20,True
97,1,2023-09-07,49,49,False
98,1,2023-09-09,71,71,True
99,1,2023-09-11,46,46,True
100,1,2023-09-14,66,66,False
101,1,2023-09-16,32,32,False
102,1,2023-09-18,44,44,True
103,1,2023-09-21,6,6,True
104,1,2023-09-24,41,41,False
105,1,2023-10-02,117,117,False
106,1,2023-10-04,24,0,False
107,1,2023-10-10,30,30,True
108,1,2023-10-14,47,47,True
109,1,2023-10-15,47,47,True
110,1,2023-10-17,2,2,True
111,1,2023-10-22,18,18,True
112,1,2023-10-23,9,9,True
113,1,2023-10-24,34,34,True
114,1,2023-10-25,10,10,True
115,1,2023-10-26,60,50,False
116,1,2023-10-28,36,35,False
117,1,2023-11-04,27,2,False
118,1,2023-11-06,46,46,True
119,1,2023-11-09,49,47,False
120,1,2023-11-10,20,20,False
121,1,2023-11-13,42,42,False
122,1,2023-11-14,12,12,True
123,1,2023-11-15,15,15,True
124,1,2023-11-17,23,23,True
125,1,2023-11-20,5,5,False
126,1,2023-11-21,69,69,False
127,1,2023-11-24,37,37,True
128,1,2023-11-25,44,44,True
129,1,2023-11-27,7,7,True
130,1,2023-11-29,21,21,True
131,1,2023-12-01,14,14,True
132,1,2023-12-02,13,13,True
133,1,2023-12-04,42,42,False
134,1,2023-12-05,15,15,True
135,1,2023-12-07,37,37,True
136,1,2023-12-09,13,13,True
137,1,2023-12-10,27,27,False
138,1,2023-12-14,26,26,True
139,1,2023-12-15,104,104,True
140,1,2023-12-22,37,37,True
141,1,2023-12-26,38,38,True
142,1,2023-12-31,20,20,True
143,1,2024-01-01,44,1,False
144,1,2024-01-02,20,20,True
145,1,2024-01-04,29,29,True
146,1,2024-01-06,1,1,False
147,1,2024-01-07,32,32,False
148,1,2024-01-09,47,47,True
149,1,2024-01-10,46,46,True
150,1,2024-01-13,46,46,False
151,1,2024-01-15,39,39,False
152,1,2024-01-22,1,1,False
153,1,2024-01-30,10,10,False
154,1,2024-02-02,42,42,True
155,1,2024-02-05,76,76,True
156,1,2024-02-08,6,6,True
